logFC	logCPM	F	PValue	status
SIN3A@06556	 4.530e+00	 4.678538	7.155e+00	0.0183703	test
SIN3A@07377	 3.232e+00	 6.733282	7.176e+00	0.0184028	test
SIN3A@12167	-5.281e+00	 2.618878	7.172e+00	0.0184275	test
SIN3A@14196	 9.378e+00	 2.893442	7.304e+00	0.0185884	negative
SIN3A@14390	-1.850e+00	 7.635916	7.088e+00	0.0189962	negative
SIN3A@10719	 7.448e+00	 4.915194	7.087e+00	0.0190059	test
SIN3A@05436	 4.194e+00	 4.903579	7.060e+00	0.0190131	test
SIN3A@08789	 5.811e+00	 4.677037	7.041e+00	0.0193263	test
SIN3A@02552	 3.722e+00	 6.357643	7.023e+00	0.0194534	test
SIN3A@08972	 4.424e+00	 4.896153	7.002e+00	0.0194570	test
SIN3A@07845	 3.345e+00	 6.319315	7.010e+00	0.0195439	test
SIN3A@09830	 4.424e+00	 5.132189	6.989e+00	0.0196979	test
SIN3A@11823	-5.293e+00	 2.734532	6.979e+00	0.0197694	test
SIN3A@14463	 2.798e+00	10.045790	6.977e+00	0.0197811	GFP
SIN3A@07851	 2.744e+00	 7.524859	6.972e+00	0.0198145	test
SIN3A@00330	 4.946e+00	 6.576907	6.968e+00	0.0198490	test
SIN3A@00769	 4.412e+00	 5.367905	6.953e+00	0.0199542	test
SIN3A@07957	 2.274e+00	 7.472735	6.953e+00	0.0199545	test
SIN3A@07925	 3.479e+00	 6.611751	6.931e+00	0.0201148	test
SIN3A@02709	 4.061e+00	 6.255802	6.888e+00	0.0204358	test
SIN3A@13092	 7.910e+00	 4.351616	6.872e+00	0.0205611	test
SIN3A@01319	 4.742e+00	 4.720313	6.868e+00	0.0205897	test
SIN3A@06375	 3.166e+00	 7.106564	6.861e+00	0.0206381	test
SIN3A@07609	 5.417e+00	 4.891661	6.859e+00	0.0206582	test
SIN3A@10966	-3.763e+00	 4.386493	6.832e+00	0.0207207	test
SIN3A@07080	 9.054e+00	 3.779621	6.847e+00	0.0207467	test
SIN3A@07797	 2.450e+00	 7.450338	6.845e+00	0.0207637	test
SIN3A@00517	 7.470e+00	 3.309844	6.843e+00	0.0207748	test
SIN3A@08196	 2.988e+00	 6.130748	6.802e+00	0.0209082	test
SIN3A@02710	-4.179e+00	 3.883522	6.790e+00	0.0210040	test
SIN3A@14465	 2.983e+00	 9.595938	6.802e+00	0.0210912	GFP
SIN3A@05607	 5.753e+00	 4.575500	6.791e+00	0.0211833	test
SIN3A@13028	-2.976e+00	 5.563826	6.782e+00	0.0212500	test
SIN3A@00181	 7.716e+00	 3.887809	6.771e+00	0.0213380	test
SIN3A@01388	 5.179e+00	 4.961695	6.765e+00	0.0213849	test
SIN3A@14464	 3.900e+00	10.562248	6.764e+00	0.0213919	GFP
SIN3A@01236	 5.161e+00	 5.233717	6.756e+00	0.0214547	test
SIN3A@11214	-4.522e+00	 3.808248	6.756e+00	0.0214582	test
SIN3A@08471	-4.611e+00	 3.094754	6.730e+00	0.0214741	test
SIN3A@09670	 5.183e+00	 4.237661	6.728e+00	0.0215129	test
SIN3A@01483	 8.792e+00	 2.329060	6.847e+00	0.0218406	test
SIN3A@11749	-4.413e+00	 4.007216	6.702e+00	0.0218916	test
SIN3A@06142	 4.496e+00	 4.565559	6.673e+00	0.0219341	test
SIN3A@13316	-3.506e+00	 5.035662	6.695e+00	0.0219454	test
SIN3A@00764	 5.219e+00	 4.949920	6.694e+00	0.0219585	test
SIN3A@13742	-4.901e+00	 2.871098	6.679e+00	0.0220141	test
