logFC	logCPM	F	PValue	status
SIN3A@06811	 4.947e+00	 5.268794	6.693e+00	2.794e-02	test
SIN3A@03457	 7.754e+00	 3.852196	6.687e+00	2.799e-02	test
SIN3A@03774	 3.177e+00	 6.912095	6.669e+00	2.816e-02	test
SIN3A@08017	 9.376e+00	 2.381770	6.943e+00	2.819e-02	test
SIN3A@02028	 2.293e+00	 7.303678	6.661e+00	2.823e-02	test
SIN3A@07386	 9.600e+00	 2.592863	6.934e+00	2.826e-02	test
SIN3A@07704	 2.193e+00	 7.271838	6.628e+00	2.842e-02	test
SIN3A@10342	-4.795e+00	 4.722227	6.595e+00	2.849e-02	test
SIN3A@05724	-2.643e+00	 6.731679	6.586e+00	2.857e-02	test
SIN3A@07899	 3.809e+00	 6.423551	6.622e+00	2.860e-02	test
SIN3A@12995	 1.073e+01	 3.704427	6.894e+00	2.861e-02	test
SIN3A@00769	 4.811e+00	 5.455332	6.617e+00	2.864e-02	test
SIN3A@13403	 4.375e+00	 5.066991	6.586e+00	2.875e-02	test
SIN3A@09323	-3.899e+00	 5.270587	6.550e+00	2.891e-02	test
SIN3A@00617	 1.019e+01	 3.167621	6.847e+00	2.903e-02	test
SIN3A@05068	 5.310e+00	 5.826428	6.573e+00	2.906e-02	test
SIN3A@10711	 1.096e+01	 3.926938	6.839e+00	2.910e-02	test
SIN3A@11345	-6.321e+00	 4.232291	6.566e+00	2.912e-02	test
SIN3A@04548	-2.715e+00	 6.603075	6.520e+00	2.921e-02	test
SIN3A@09325	 2.901e+00	 6.437176	6.525e+00	2.927e-02	test
SIN3A@11105	-5.031e+00	 4.656914	6.489e+00	2.951e-02	test
SIN3A@05789	 4.137e+00	 5.318998	6.524e+00	2.953e-02	test
SIN3A@10995	 9.818e+00	 2.804789	6.784e+00	2.959e-02	test
SIN3A@13301	-3.070e+00	 6.252641	6.491e+00	2.976e-02	test
SIN3A@13934	-4.982e+00	 4.610120	6.463e+00	2.976e-02	test
SIN3A@11130	 1.011e+01	 3.092339	6.749e+00	2.992e-02	test
SIN3A@02710	-5.338e+00	 4.430829	6.441e+00	2.998e-02	test
SIN3A@11214	-6.176e+00	 4.369742	6.466e+00	3.011e-02	test
SIN3A@05834	 3.160e+00	 7.030605	6.457e+00	3.019e-02	test
SIN3A@04668	-4.382e+00	 4.869197	6.420e+00	3.020e-02	test
SIN3A@12147	-3.262e+00	 6.160182	6.434e+00	3.042e-02	test
SIN3A@11749	-5.036e+00	 4.584363	6.395e+00	3.045e-02	test
SIN3A@09790	 5.574e+00	 6.668532	6.425e+00	3.051e-02	test
SIN3A@07727	 1.583e+00	 7.974704	6.380e+00	3.060e-02	test
SIN3A@01052	 7.499e+00	 4.030883	6.399e+00	3.078e-02	test
SIN3A@13754	-6.408e+00	 4.119344	6.382e+00	3.086e-02	test
SIN3A@04953	-7.131e+00	 3.843493	6.373e+00	3.105e-02	test
SIN3A@07260	 6.093e+00	 4.382793	6.365e+00	3.114e-02	test
SIN3A@08080	 1.084e+01	 3.808881	6.607e+00	3.126e-02	test
SIN3A@06410	 4.996e+00	 5.702565	6.346e+00	3.133e-02	test
SIN3A@08216	 6.259e+00	 4.429076	6.314e+00	3.167e-02	test
SIN3A@05883	 2.726e+00	 6.696686	6.311e+00	3.170e-02	test
SIN3A@10128	 4.906e+00	 6.206814	6.304e+00	3.177e-02	test
SIN3A@08122	-5.325e+00	 4.864430	6.298e+00	3.184e-02	test
SIN3A@14252	-4.557e+00	 4.759210	6.258e+00	3.189e-02	negative
SIN3A@04366	 3.249e+00	 5.847662	6.239e+00	3.211e-02	test
SIN3A@00427	-5.741e+00	 4.521804	6.254e+00	3.232e-02	test
SIN3A@10951	 7.776e+00	 2.139688	6.209e+00	3.242e-02	test
SIN3A@07504	 2.868e+00	 6.586741	6.237e+00	3.250e-02	test
SIN3A@08174	 2.885e+00	 7.374153	6.228e+00	3.260e-02	test
SIN3A@05383	 4.818e+00	 5.830003	6.220e+00	3.268e-02	test
SIN3A@02058	 2.741e+00	 7.399416	6.219e+00	3.270e-02	test
SIN3A@08196	 3.154e+00	 6.034667	6.210e+00	3.270e-02	test
SIN3A@12136	 8.274e+00	 2.615856	6.211e+00	3.278e-02	test
SIN3A@12018	 2.938e+00	 7.122326	6.200e+00	3.290e-02	test
SIN3A@01483	 9.829e+00	 2.815815	6.440e+00	3.295e-02	test
SIN3A@01970	-2.901e+00	 6.146811	6.141e+00	3.318e-02	test
SIN3A@09065	 8.271e+00	 3.737530	6.173e+00	3.321e-02	test
SIN3A@12072	 2.416e+00	 7.392468	6.171e+00	3.324e-02	test
SIN3A@11530	 4.609e+00	 5.052584	6.166e+00	3.329e-02	test
SIN3A@01898	 2.227e+00	 7.325001	6.159e+00	3.337e-02	test
SIN3A@04991	 3.133e+00	 6.162898	6.155e+00	3.341e-02	test
SIN3A@07524	 3.599e+00	 5.391371	6.113e+00	3.351e-02	test
SIN3A@10910	 8.243e+00	 4.333870	6.141e+00	3.357e-02	test
SIN3A@07592	-4.186e+00	 4.935156	6.106e+00	3.358e-02	test
SIN3A@07820	 2.392e+00	 6.819025	6.098e+00	3.368e-02	test
SIN3A@05938	-9.117e+00	 3.401143	6.111e+00	3.392e-02	test
SIN3A@02754	 8.927e+00	 1.947183	6.331e+00	3.412e-02	test
SIN3A@07804	 3.345e+00	 5.966487	6.059e+00	3.452e-02	test
SIN3A@08275	 5.075e+00	 4.553285	6.037e+00	3.454e-02	test
SIN3A@11336	 2.961e+00	 7.219228	6.056e+00	3.456e-02	test
SIN3A@12585	-7.935e+00	 2.267794	6.005e+00	3.477e-02	test
SIN3A@07601	 4.503e+00	 5.735253	6.035e+00	3.482e-02	test
SIN3A@09324	-6.580e+00	 4.579744	5.996e+00	3.527e-02	test
SIN3A@09616	-3.204e+00	 5.876610	5.978e+00	3.530e-02	test
SIN3A@13988	 3.400e+00	 6.492710	5.969e+00	3.561e-02	test
SIN3A@13636	-4.944e+00	 4.496139	5.935e+00	3.563e-02	test
SIN3A@06505	-9.487e+00	 3.761767	5.967e+00	3.564e-02	test
SIN3A@08038	 5.164e+00	 4.534937	5.960e+00	3.566e-02	test
SIN3A@06944	 2.838e+00	 6.423651	5.957e+00	3.576e-02	test
SIN3A@13230	 9.936e+00	 2.919490	6.178e+00	3.583e-02	test
SIN3A@12029	 3.706e+00	 5.736554	5.936e+00	3.602e-02	test
SIN3A@11026	-4.863e+00	 4.643177	5.916e+00	3.604e-02	test
SIN3A@13709	 8.078e+00	 3.546180	5.927e+00	3.613e-02	test
SIN3A@08423	 3.206e+00	 7.509129	5.924e+00	3.617e-02	test
SIN3A@08082	-6.869e+00	 3.587708	5.900e+00	3.617e-02	test
SIN3A@01266	 3.879e+00	 5.341844	5.920e+00	3.622e-02	test
SIN3A@02587	 6.190e+00	 3.771894	5.875e+00	3.638e-02	test
SIN3A@05455	 9.320e+00	 2.322937	6.131e+00	3.638e-02	test
SIN3A@08983	-4.693e+00	 4.608032	5.862e+00	3.654e-02	test
SIN3A@00540	-5.115e+00	 4.884567	5.888e+00	3.662e-02	test
SIN3A@11050	-4.907e+00	 4.498864	5.856e+00	3.662e-02	test
SIN3A@09622	-4.082e+00	 4.951851	5.855e+00	3.663e-02	test
SIN3A@05231	 9.853e+00	 2.839117	6.107e+00	3.667e-02	test
SIN3A@10598	-4.626e+00	 4.777414	5.876e+00	3.669e-02	test
SIN3A@01145	 2.992e+00	 7.580938	5.882e+00	3.669e-02	test
SIN3A@07410	 3.219e+00	 7.056239	5.880e+00	3.671e-02	test
SIN3A@12935	-3.320e+00	 5.549832	5.846e+00	3.675e-02	test
SIN3A@01107	 6.059e+00	 5.353194	5.878e+00	3.675e-02	test
SIN3A@11496	-4.327e+00	 5.321265	5.868e+00	3.687e-02	test
SIN3A@07713	 2.906e+00	 6.807555	5.863e+00	3.694e-02	test
SIN3A@08717	-7.959e+00	 3.659059	5.850e+00	3.710e-02	test
SIN3A@05182	 4.055e+00	 5.580518	5.842e+00	3.721e-02	test
SIN3A@09206	-4.216e+00	 4.959078	5.812e+00	3.741e-02	test
SIN3A@04220	-3.960e+00	 4.992897	5.791e+00	3.746e-02	test
SIN3A@13526	 2.591e+00	 6.567539	5.789e+00	3.749e-02	test
SIN3A@01735	 6.150e+00	 4.492181	5.817e+00	3.754e-02	test
SIN3A@12012	 6.874e+00	 3.891136	5.804e+00	3.770e-02	test
SIN3A@14130	-2.545e+00	 6.821865	5.801e+00	3.774e-02	negative
