gRNA	XR029	XR030	XR031	XR032	XR033	XR034	XR035	XR036	XR037	XR038	XR039	group
SIN3A@13557	1139	3139	331	71	95	1662	2921	349	498	11842	975	test
SIN3A@13558	8360	5543	2252	2395	2758	7490	9448	2832	709	15930	2399	test
SIN3A@13559	9548	4852	3029	3917	4504	10721	9347	2971	2448	9787	1942	test
SIN3A@13560	662	1097	98	110	29	1828	2543	405	1169	4720	532	test
SIN3A@13561	2875	5068	849	29	141	683	3904	874	542	1003	1270	test
SIN3A@13562	1301	2761	317	100	91	854	1955	554	322	1717	1191	test
SIN3A@13563	5903	2946	1517	1920	2268	5748	8914	1306	369	4308	1921	test
SIN3A@13564	1019	1113	181	43	40	184	1588	1877	580	4461	1108	test
SIN3A@13565	5558	6658	359	376	385	2822	7789	2958	3164	7828	2467	test
SIN3A@13566	1078	780	28	11	61	277	2505	1374	433	315	648	test
SIN3A@13567	3475	3812	1266	1497	1731	3539	2951	762	519	3625	632	test
SIN3A@13568	3655	3568	576	393	482	2390	3604	1848	520	1800	2108	test
SIN3A@13569	4585	2843	1411	1169	1427	3465	4273	1058	646	4722	1454	test
SIN3A@13570	6738	3756	2173	2521	2897	6536	3427	836	450	1060	237	test
SIN3A@13571	2347	2182	498	59	48	1974	5264	1504	938	1890	2517	test
SIN3A@13572	4367	1681	977	1086	1375	3300	2019	844	1143	3273	1384	test
SIN3A@13573	2752	5541	313	103	72	531	3463	600	1097	1888	1579	test
SIN3A@13574	2810	1612	409	378	415	1631	3931	1249	1033	389	1438	test
SIN3A@13575	3360	806	732	642	801	3074	1374	670	886	438	886	test
SIN3A@13576	13891	8509	3894	4641	5405	13438	11268	1514	1753	5427	3856	test
SIN3A@13577	3092	2008	654	767	846	3061	3402	288	190	304	575	test
SIN3A@13578	805	4848	153	143	77	2143	3342	1387	777	5129	782	test
SIN3A@13579	5188	2750	1151	1398	1886	3836	1752	378	502	2753	1454	test
SIN3A@13580	2035	1913	709	487	552	2956	4350	642	1899	14211	1322	test
SIN3A@13581	696	1265	215	34	5	1886	244	94	504	3533	695	test
SIN3A@13582	2279	1990	575	383	356	2393	6115	656	1820	1900	936	test
SIN3A@13583	5569	5285	1326	1359	1590	5149	3481	1820	480	5907	1641	test
SIN3A@13584	1100	1309	375	397	495	889	1282	151	234	144	348	test
SIN3A@13585	2325	3744	371	136	129	1252	2998	28	1225	9766	325	test
SIN3A@13586	4245	5643	607	471	499	2942	2359	1220	616	6107	2250	test
