oligo	XR043	XR044	XR045	XR046	XR050	XR051	XR052	XR054	group
SIN3A@03851	61	23	75	34	817	435	302	637	test
SIN3A@03852	0	0	0	0	0	0	1	0	test
SIN3A@03853	141	102	62	109	672	267	168	339	test
SIN3A@03854	438	207	84	63	293	195	111	571	test
SIN3A@03855	171	68	49	1273	360	175	409	211	test
SIN3A@03856	82	33	0	1	321	97	43	223	test
SIN3A@03857	1	0	2	1	0	0	0	1	test
SIN3A@03858	693	548	108	489	323	144	580	50	test
SIN3A@03859	131	212	1	0	648	319	425	453	test
SIN3A@03860	947	612	1013	1087	1070	537	673	768	test
SIN3A@03861	376	171	81	67	485	222	196	278	test
SIN3A@03862	560	488	1011	1034	257	86	10	413	test
SIN3A@03863	457	539	1350	888	384	129	449	179	test
SIN3A@03864	287	395	11	166	990	362	666	549	test
SIN3A@03865	715	287	1000	574	1870	1012	2119	1739	test
SIN3A@03866	444	247	1498	870	764	427	427	1377	test
SIN3A@03867	752	454	84	300	292	201	298	197	test
SIN3A@03868	137	71	95	12	53	61	0	0	test
SIN3A@03869	617	682	1193	1028	142	51	102	1	test
SIN3A@03870	696	429	500	504	579	254	313	523	test
SIN3A@03871	113	18	0	0	658	304	820	524	test
SIN3A@03872	105	120	0	0	255	128	85	250	test
SIN3A@03873	1707	1930	814	1638	716	379	460	514	test
SIN3A@03874	408	310	518	337	364	161	296	328	test
SIN3A@03875	1877	811	4246	2500	288	165	210	125	test
SIN3A@03876	337	145	0	96	615	336	147	423	test
SIN3A@03877	210	100	40	1	457	182	362	433	test
SIN3A@03878	581	361	871	726	457	227	300	291	test
SIN3A@03879	883	762	120	327	965	397	535	1182	test
SIN3A@03880	746	706	1103	1241	367	200	71	269	test
SIN3A@03881	139	104	838	505	231	130	439	110	test
SIN3A@03882	466	717	26	512	435	184	228	291	test
SIN3A@03883	492	149	86	186	309	97	253	202	test
SIN3A@03884	1368	931	2360	1431	2073	1008	585	1500	test
SIN3A@03885	547	675	40	224	220	247	147	142	test
SIN3A@03886	528	606	1106	769	647	295	99	143	test
SIN3A@03887	1054	1108	24	527	1003	505	767	774	test
SIN3A@03888	29	14	0	84	215	120	61	118	test
SIN3A@03889	344	648	30	381	488	288	444	469	test
SIN3A@03890	491	142	78	185	723	396	448	614	test
SIN3A@03891	26	17	1	19	408	196	349	253	test
SIN3A@03892	974	246	148	37	605	267	1426	586	test
SIN3A@03893	306	146	14	17	316	75	334	38	test
SIN3A@03894	245	184	2132	1173	1038	526	582	635	test
SIN3A@03895	1220	1017	1042	1264	312	178	81	88	test
SIN3A@03896	212	183	100	41	554	271	1119	1016	test
SIN3A@03897	629	592	873	1196	874	387	1042	604	test
SIN3A@03898	668	473	104	286	1226	670	3957	1687	test
SIN3A@03899	97	108	4	52	95	11	66	0	test
SIN3A@03900	525	503	3271	2050	361	223	85	278	test
SIN3A@03901	299	170	892	466	595	218	247	942	test
SIN3A@03902	304	406	58	203	78	36	56	0	test
SIN3A@03903	318	508	756	809	824	316	468	1173	test
